"Your_github","Instructions"
"KateJohnson","Please add [vibudh2209](https://github.com/vibudh2209) and [mattsada](https://github.com/mattsada) as collaborators to your repo containing hw10. Please __review the hw10 submission of [SonjaS1](https://github.com/SonjaS1) and [HScheiber](https://github.com/HScheiber)__."
"Kozp","Please add [gbraich](https://github.com/gbraich) and [ZimingY](https://github.com/ZimingY) as collaborators to your repo containing hw10. Please __review the hw10 submission of [cheungamanda](https://github.com/cheungamanda) and [heathersummers](https://github.com/heathersummers)__."
"marbazua","Please add [vmichalowski](https://github.com/vmichalowski) and [juansbr7](https://github.com/juansbr7) as collaborators to your repo containing hw10. Please __review the hw10 submission of [swynes](https://github.com/swynes) and [qiaoyuet](https://github.com/qiaoyuet)__."
"margotgunning","Please add [yuanjisun](https://github.com/yuanjisun) and [bcahn7](https://github.com/bcahn7) as collaborators to your repo containing hw10. Please __review the hw10 submission of [zxkathy](https://github.com/zxkathy) and [yidie](https://github.com/yidie)__."
"Mathnstein","Please add [hsmohammed](https://github.com/hsmohammed) and [emilymistick](https://github.com/emilymistick) as collaborators to your repo containing hw10. Please __review the hw10 submission of [ilgan](https://github.com/ilgan) and [xinyaofan](https://github.com/xinyaofan)__."
"mattsada","Please add [Tangjiahui26](https://github.com/Tangjiahui26) and [vibudh2209](https://github.com/vibudh2209) as collaborators to your repo containing hw10. Please __review the hw10 submission of [KateJohnson](https://github.com/KateJohnson) and [SonjaS1](https://github.com/SonjaS1)__."
"menglinzhou","Please add [xinyaofan](https://github.com/xinyaofan) and [xinmiaow](https://github.com/xinmiaow) as collaborators to your repo containing hw10. Please __review the hw10 submission of [jmurthy12](https://github.com/jmurthy12) and [wenzhengzzz](https://github.com/wenzhengzzz)__."
"mlawre01","Please add [suminwei2772](https://github.com/suminwei2772) and [emwest](https://github.com/emwest) as collaborators to your repo containing hw10. Please __review the hw10 submission of [Alexander-Morin](https://github.com/Alexander-Morin) and [yuanjisun](https://github.com/yuanjisun)__."
"mylinhthibodeau","Please add [santiagodr](https://github.com/santiagodr) and [yeonukkim](https://github.com/yeonukkim) as collaborators to your repo containing hw10. Please __review the hw10 submission of [peterwhitman](https://github.com/peterwhitman) and [vmichalowski](https://github.com/vmichalowski)__."
"peterwhitman","Please add [yeonukkim](https://github.com/yeonukkim) and [mylinhthibodeau](https://github.com/mylinhthibodeau) as collaborators to your repo containing hw10. Please __review the hw10 submission of [vmichalowski](https://github.com/vmichalowski) and [juansbr7](https://github.com/juansbr7)__."
"qiaoyuet","Please add [marbazua](https://github.com/marbazua) and [swynes](https://github.com/swynes) as collaborators to your repo containing hw10. Please __review the hw10 submission of [rishadhabib](https://github.com/rishadhabib) and [gbraich](https://github.com/gbraich)__."
"rainerlempert","Please add [wswade2](https://github.com/wswade2) and [abishekarun](https://github.com/abishekarun) as collaborators to your repo containing hw10. Please __review the hw10 submission of [Shirlett](https://github.com/Shirlett) and [santiagodr](https://github.com/santiagodr)__."
"rishadhabib","Please add [swynes](https://github.com/swynes) and [qiaoyuet](https://github.com/qiaoyuet) as collaborators to your repo containing hw10. Please __review the hw10 submission of [gbraich](https://github.com/gbraich) and [ZimingY](https://github.com/ZimingY)__."
"santiagodr","Please add [rainerlempert](https://github.com/rainerlempert) and [Shirlett](https://github.com/Shirlett) as collaborators to your repo containing hw10. Please __review the hw10 submission of [yeonukkim](https://github.com/yeonukkim) and [mylinhthibodeau](https://github.com/mylinhthibodeau)__."
"sepkamal","Please add [jmurthy12](https://github.com/jmurthy12) and [wenzhengzzz](https://github.com/wenzhengzzz) as collaborators to your repo containing hw10. Please __review the hw10 submission of [vanflad](https://github.com/vanflad) and [wswade2](https://github.com/wswade2)__."
"Shirlett","Please add [abishekarun](https://github.com/abishekarun) and [rainerlempert](https://github.com/rainerlempert) as collaborators to your repo containing hw10. Please __review the hw10 submission of [santiagodr](https://github.com/santiagodr) and [yeonukkim](https://github.com/yeonukkim)__."
"SonjaS1","Please add [mattsada](https://github.com/mattsada) and [KateJohnson](https://github.com/KateJohnson) as collaborators to your repo containing hw10. Please __review the hw10 submission of [HScheiber](https://github.com/HScheiber) and [arthursunbao](https://github.com/arthursunbao)__."
"suminwei2772","Please add [hannahdxz](https://github.com/hannahdxz) and [AnhKhoaVo](https://github.com/AnhKhoaVo) as collaborators to your repo containing hw10. Please __review the hw10 submission of [emwest](https://github.com/emwest) and [mlawre01](https://github.com/mlawre01)__."
"swynes","Please add [juansbr7](https://github.com/juansbr7) and [marbazua](https://github.com/marbazua) as collaborators to your repo containing hw10. Please __review the hw10 submission of [qiaoyuet](https://github.com/qiaoyuet) and [rishadhabib](https://github.com/rishadhabib)__."
"Tangjiahui26","Please add [yanchaoluo](https://github.com/yanchaoluo) and [farihakhan](https://github.com/farihakhan) as collaborators to your repo containing hw10. Please __review the hw10 submission of [vibudh2209](https://github.com/vibudh2209) and [mattsada](https://github.com/mattsada)__."
"vanflad","Please add [wenzhengzzz](https://github.com/wenzhengzzz) and [sepkamal](https://github.com/sepkamal) as collaborators to your repo containing hw10. Please __review the hw10 submission of [wswade2](https://github.com/wswade2) and [abishekarun](https://github.com/abishekarun)__."
"vibudh2209","Please add [farihakhan](https://github.com/farihakhan) and [Tangjiahui26](https://github.com/Tangjiahui26) as collaborators to your repo containing hw10. Please __review the hw10 submission of [mattsada](https://github.com/mattsada) and [KateJohnson](https://github.com/KateJohnson)__."
"vmichalowski","Please add [mylinhthibodeau](https://github.com/mylinhthibodeau) and [peterwhitman](https://github.com/peterwhitman) as collaborators to your repo containing hw10. Please __review the hw10 submission of [juansbr7](https://github.com/juansbr7) and [marbazua](https://github.com/marbazua)__."
"wenzhengzzz","Please add [menglinzhou](https://github.com/menglinzhou) and [jmurthy12](https://github.com/jmurthy12) as collaborators to your repo containing hw10. Please __review the hw10 submission of [sepkamal](https://github.com/sepkamal) and [vanflad](https://github.com/vanflad)__."
"wswade2","Please add [sepkamal](https://github.com/sepkamal) and [vanflad](https://github.com/vanflad) as collaborators to your repo containing hw10. Please __review the hw10 submission of [abishekarun](https://github.com/abishekarun) and [rainerlempert](https://github.com/rainerlempert)__."
"xinmiaow","Please add [ilgan](https://github.com/ilgan) and [xinyaofan](https://github.com/xinyaofan) as collaborators to your repo containing hw10. Please __review the hw10 submission of [menglinzhou](https://github.com/menglinzhou) and [jmurthy12](https://github.com/jmurthy12)__."
"xinyaofan","Please add [Mathnstein](https://github.com/Mathnstein) and [ilgan](https://github.com/ilgan) as collaborators to your repo containing hw10. Please __review the hw10 submission of [xinmiaow](https://github.com/xinmiaow) and [menglinzhou](https://github.com/menglinzhou)__."
"yanchaoluo","Please add [heathersummers](https://github.com/heathersummers) and [CassKon](https://github.com/CassKon) as collaborators to your repo containing hw10. Please __review the hw10 submission of [farihakhan](https://github.com/farihakhan) and [Tangjiahui26](https://github.com/Tangjiahui26)__."
"yeonukkim","Please add [Shirlett](https://github.com/Shirlett) and [santiagodr](https://github.com/santiagodr) as collaborators to your repo containing hw10. Please __review the hw10 submission of [mylinhthibodeau](https://github.com/mylinhthibodeau) and [peterwhitman](https://github.com/peterwhitman)__."
"yidie","Please add [margotgunning](https://github.com/margotgunning) and [zxkathy](https://github.com/zxkathy) as collaborators to your repo containing hw10. Please __review the hw10 submission of [dorawyy](https://github.com/dorawyy) and [hsmohammed](https://github.com/hsmohammed)__."
"yuanjisun","Please add [mlawre01](https://github.com/mlawre01) and [Alexander-Morin](https://github.com/Alexander-Morin) as collaborators to your repo containing hw10. Please __review the hw10 submission of [bcahn7](https://github.com/bcahn7) and [margotgunning](https://github.com/margotgunning)__."
"ZimingY","Please add [rishadhabib](https://github.com/rishadhabib) and [gbraich](https://github.com/gbraich) as collaborators to your repo containing hw10. Please __review the hw10 submission of [Kozp](https://github.com/Kozp) and [cheungamanda](https://github.com/cheungamanda)__."
"zxkathy","Please add [bcahn7](https://github.com/bcahn7) and [margotgunning](https://github.com/margotgunning) as collaborators to your repo containing hw10. Please __review the hw10 submission of [yidie](https://github.com/yidie) and [dorawyy](https://github.com/dorawyy)__."
