year	pop	lifeExp	gdpPercap	region
1962	4826015	34	4269.276742	Africa_Angola
1967	5247469	35.985	5522.776375	Africa_Angola
1972	5894858	37.928	5473.288005	Africa_Angola
1977	6162675	39.483	3008.647355	Africa_Angola
1982	7016384	39.942	2756.953672	Africa_Angola
1987	7874230	39.906	2430.208311	Africa_Angola
1992	8735988	40.647	2627.845685	Africa_Angola
1997	9875024	40.963	2277.140884	Africa_Angola
2002	10866106	41.003	2773.287312	Africa_Angola
2007	12420476	42.731	4797.231267	Africa_Angola
1952	17876956	62.485	5911.315053	Americas_Argentina
1957	19610538	64.399	6856.856212	Americas_Argentina
1962	21283783	65.142	7133.166023	Americas_Argentina
1967	22934225	65.634	8052.953021	Americas_Argentina
1972	24779799	67.065	9443.038526	Americas_Argentina
1977	26983828	68.481	10079.02674	Americas_Argentina
1982	29341374	69.942	8997.897412	Americas_Argentina
1987	31620918	70.774	9139.671389	Americas_Argentina
1992	33958947	71.868	9308.41871	Americas_Argentina
1997	36203463	73.275	10967.28195	Americas_Argentina
2002	38331121	74.34	8797.640716	Americas_Argentina
2007	40301927	75.32	12779.37964	Americas_Argentina
1952	8691212	69.12	10039.59564	Oceania_Australia
1957	9712569	70.33	10949.64959	Oceania_Australia
1962	10794968	70.93	12217.22686	Oceania_Australia
1967	11872264	71.1	14526.12465	Oceania_Australia
1972	13177000	71.93	16788.62948	Oceania_Australia
1977	14074100	73.49	18334.19751	Oceania_Australia
1982	15184200	74.74	19477.00928	Oceania_Australia
1987	16257249	76.32	21888.88903	Oceania_Australia
1992	17481977	77.56	23424.76683	Oceania_Australia
1997	18565243	78.83	26997.93657	Oceania_Australia
2002	19546792	80.37	30687.75473	Oceania_Australia
2007	20434176	81.235	34435.36744	Oceania_Australia
1952	6927772	66.8	6137.076492	Europe_Austria
1957	6965860	67.48	8842.59803	Europe_Austria
1962	7129864	69.54	10750.72111	Europe_Austria
1967	7376998	70.14	12834.6024	Europe_Austria
1972	7544201	70.63	16661.6256	Europe_Austria
1977	7568430	72.17	19749.4223	Europe_Austria
1982	7574613	73.18	21597.08362	Europe_Austria
1987	7578903	74.94	23687.82607	Europe_Austria
1992	7914969	76.04	27042.01868	Europe_Austria
1997	8069876	77.51	29095.92066	Europe_Austria
2002	8148312	78.98	32417.60769	Europe_Austria
2007	8199783	79.829	36126.4927	Europe_Austria
1952	120447	50.939	9867.084765	Asia_Bahrain
1957	138655	53.832	11635.79945	Asia_Bahrain
1962	171863	56.923	12753.27514	Asia_Bahrain
1967	202182	59.923	14804.6727	Asia_Bahrain
1972	230800	63.3	18268.65839	Asia_Bahrain
1977	297410	65.593	19340.10196	Asia_Bahrain
1982	377967	69.052	19211.14731	Asia_Bahrain
1987	454612	70.75	18524.02406	Asia_Bahrain
1992	529491	72.601	19035.57917	Asia_Bahrain
1997	598561	73.925	20292.01679	Asia_Bahrain
2002	656397	74.795	23403.55927	Asia_Bahrain
2007	708573	75.635	29796.04834	Asia_Bahrain
1952	46886859	37.484	684.2441716	Asia_Bangladesh
1957	51365468	39.348	661.6374577	Asia_Bangladesh
1962	56839289	41.216	686.3415538	Asia_Bangladesh
1967	62821884	43.453	721.1860862	Asia_Bangladesh
1972	70759295	45.252	630.2336265	Asia_Bangladesh
1977	80428306	46.923	659.8772322	Asia_Bangladesh
1982	93074406	50.009	676.9818656	Asia_Bangladesh
1987	103764241	52.819	751.9794035	Asia_Bangladesh
1992	113704579	56.018	837.8101643	Asia_Bangladesh
1997	123315288	59.412	972.7700352	Asia_Bangladesh
2002	135656790	62.013	1136.39043	Asia_Bangladesh
2007	150448339	64.062	1391.253792	Asia_Bangladesh
1952	8730405	68	8343.105127	Europe_Belgium
1957	8989111	69.24	9714.960623	Europe_Belgium
1962	9218400	70.25	10991.20676	Europe_Belgium
1967	9556500	70.94	13149.04119	Europe_Belgium
1972	9709100	71.44	16672.14356	Europe_Belgium
1977	9821800	72.8	19117.97448	Europe_Belgium
1982	9856303	73.93	20979.84589	Europe_Belgium
1987	9870200	75.35	22525.56308	Europe_Belgium
1992	10045622	76.46	25575.57069	Europe_Belgium
1997	10199787	77.53	27561.19663	Europe_Belgium
2002	10311970	78.32	30485.88375	Europe_Belgium
2007	10392226	79.441	33692.60508	Europe_Belgium
1952	1738315	38.223	1062.7522	Africa_Benin
1957	1925173	40.358	959.6010805	Africa_Benin
1962	2151895	42.618	949.4990641	Africa_Benin
1967	2427334	44.885	1035.831411	Africa_Benin
1972	2761407	47.014	1085.796879	Africa_Benin
1977	3168267	49.19	1029.161251	Africa_Benin
1982	3641603	50.904	1277.897616	Africa_Benin
1987	4243788	52.337	1225.85601	Africa_Benin
1992	4981671	53.919	1191.207681	Africa_Benin
1997	6066080	54.777	1232.975292	Africa_Benin
2002	7026113	54.406	1372.877931	Africa_Benin
2007	8078314	56.728	1441.284873	Africa_Benin
1952	2883315	40.414	2677.326347	Americas_Bolivia
1957	3211738	41.89	2127.686326	Americas_Bolivia
1962	3593918	43.428	2180.972546	Americas_Bolivia
1967	4040665	45.032	2586.886053	Americas_Bolivia
1972	4565872	46.714	2980.331339	Americas_Bolivia
1977	5079716	50.023	3548.097832	Americas_Bolivia
1982	5642224	53.859	3156.510452	Americas_Bolivia
1987	6156369	57.251	2753.69149	Americas_Bolivia
1992	6893451	59.957	2961.699694	Americas_Bolivia
1997	7693188	62.05	3326.143191	Americas_Bolivia
2002	8445134	63.883	3413.26269	Americas_Bolivia
2007	9119152	65.554	3822.137084	Americas_Bolivia
1952	2791000	53.82	973.5331948	Europe_Bosnia and Herzegovina
1957	3076000	58.45	1353.989176	Europe_Bosnia and Herzegovina
1962	3349000	61.93	1709.683679	Europe_Bosnia and Herzegovina
1967	3585000	64.79	2172.352423	Europe_Bosnia and Herzegovina
1972	3819000	67.45	2860.16975	Europe_Bosnia and Herzegovina
1977	4086000	69.86	3528.481305	Europe_Bosnia and Herzegovina
1982	4172693	70.69	4126.613157	Europe_Bosnia and Herzegovina
1987	4338977	71.14	4314.114757	Europe_Bosnia and Herzegovina
1992	4256013	72.178	2546.781445	Europe_Bosnia and Herzegovina
1997	3607000	73.244	4766.355904	Europe_Bosnia and Herzegovina
2002	4165416	74.09	6018.975239	Europe_Bosnia and Herzegovina
2007	4552198	74.852	7446.298803	Europe_Bosnia and Herzegovina
1952	442308	47.622	851.2411407	Africa_Botswana
1957	474639	49.618	918.2325349	Africa_Botswana
1962	512764	51.52	983.6539764	Africa_Botswana
1967	553541	53.298	1214.709294	Africa_Botswana
1972	619351	56.024	2263.611114	Africa_Botswana
1977	781472	59.319	3214.857818	Africa_Botswana
1982	970347	61.484	4551.14215	Africa_Botswana
1987	1151184	63.622	6205.88385	Africa_Botswana
1992	1342614	62.745	7954.111645	Africa_Botswana
1997	1536536	52.556	8647.142313	Africa_Botswana
2002	1630347	46.634	11003.60508	Africa_Botswana
2007	1639131	50.728	12569.85177	Africa_Botswana
1952	56602560	50.917	2108.944355	Americas_Brazil
1957	65551171	53.285	2487.365989	Americas_Brazil
1962	76039390	55.665	3336.585802	Americas_Brazil
1967	88049823	57.632	3429.864357	Americas_Brazil
1972	100840058	59.504	4985.711467	Americas_Brazil
1977	114313951	61.489	6660.118654	Americas_Brazil
1982	128962939	63.336	7030.835878	Americas_Brazil
1987	142938076	65.205	7807.095818	Americas_Brazil
1992	155975974	67.057	6950.283021	Americas_Brazil
1997	168546719	69.388	7957.980824	Americas_Brazil
2002	179914212	71.006	8131.212843	Americas_Brazil
2007	190010647	72.39	9065.800825	Americas_Brazil
1952	7274900	59.6	2444.286648	Europe_Bulgaria
1957	7651254	66.61	3008.670727	Europe_Bulgaria
1962	8012946	69.51	4254.337839	Europe_Bulgaria
1967	8310226	70.42	5577.0028	Europe_Bulgaria
1972	8576200	70.9	6597.494398	Europe_Bulgaria
1977	8797022	70.81	7612.240438	Europe_Bulgaria
1982	8892098	71.08	8224.191647	Europe_Bulgaria
1987	8971958	71.34	8239.854824	Europe_Bulgaria
1992	8658506	71.19	6302.623438	Europe_Bulgaria
1997	8066057	70.32	5970.38876	Europe_Bulgaria
2002	7661799	72.14	7696.777725	Europe_Bulgaria
2007	7322858	73.005	10680.79282	Europe_Bulgaria
1952	4469979	31.975	543.2552413	Africa_Burkina Faso
1957	4713416	34.906	617.1834648	Africa_Burkina Faso
1962	4919632	37.814	722.5120206	Africa_Burkina Faso
1967	5127935	40.697	794.8265597	Africa_Burkina Faso
1972	5433886	43.591	854.7359763	Africa_Burkina Faso
1977	5889574	46.137	743.3870368	Africa_Burkina Faso
1982	6634596	48.122	807.1985855	Africa_Burkina Faso
1987	7586551	49.557	912.0631417	Africa_Burkina Faso
1992	8878303	50.26	931.7527731	Africa_Burkina Faso
1997	10352843	50.324	946.2949618	Africa_Burkina Faso
2002	12251209	50.65	1037.645221	Africa_Burkina Faso
2007	14326203	52.295	1217.032994	Africa_Burkina Faso
1952	2445618	39.031	339.2964587	Africa_Burundi
1957	2667518	40.533	379.5646281	Africa_Burundi
1962	2961915	42.045	355.2032273	Africa_Burundi
1967	3330989	43.548	412.9775136	Africa_Burundi
1972	3529983	44.057	464.0995039	Africa_Burundi
1977	3834415	45.91	556.1032651	Africa_Burundi
1982	4580410	47.471	559.603231	Africa_Burundi
1987	5126023	48.211	621.8188189	Africa_Burundi
1992	5809236	44.736	631.6998778	Africa_Burundi
1997	6121610	45.326	463.1151478	Africa_Burundi
2002	7021078	47.36	446.4035126	Africa_Burundi
2007	8390505	49.58	430.0706916	Africa_Burundi
1952	4693836	39.417	368.4692856	Asia_Cambodia
1957	5322536	41.366	434.0383364	Asia_Cambodia
1962	6083619	43.415	496.9136476	Asia_Cambodia
1967	6960067	45.415	523.4323142	Asia_Cambodia
1972	7450606	40.317	421.6240257	Asia_Cambodia
1977	6978607	31.22	524.9721832	Asia_Cambodia
1982	7272485	50.957	624.4754784	Asia_Cambodia
1987	8371791	53.914	683.8955732	Asia_Cambodia
1992	10150094	55.803	682.3031755	Asia_Cambodia
1997	11782962	56.534	734.28517	Asia_Cambodia
2002	12926707	56.752	896.2260153	Asia_Cambodia
2007	14131858	59.723	1713.778686	Asia_Cambodia
1952	5009067	38.523	1172.667655	Africa_Cameroon
1957	5359923	40.428	1313.048099	Africa_Cameroon
1962	5793633	42.643	1399.607441	Africa_Cameroon
1967	6335506	44.799	1508.453148	Africa_Cameroon
1972	7021028	47.049	1684.146528	Africa_Cameroon
1977	7959865	49.355	1783.432873	Africa_Cameroon
1982	9250831	52.961	2367.983282	Africa_Cameroon
1987	10780667	54.985	2602.664206	Africa_Cameroon
1992	12467171	54.314	1793.163278	Africa_Cameroon
1997	14195809	52.199	1694.337469	Africa_Cameroon
2002	15929988	49.856	1934.011449	Africa_Cameroon
2007	17696293	50.43	2042.09524	Africa_Cameroon
1952	14785584	68.75	11367.16112	_Canada
1957	17010154	69.96	12489.95006	_Canada
1962	18985849	71.3	13462.48555	_Canada
1967	20819767	72.13	16076.58803	Americas_Canada
1972	22284500	72.88	18970.57086	Americas_Canada
1977	23796400	74.21	22090.88306	Americas_Canada
1982	25201900	75.76	22898.79214	Americas_Canada
1987	26549700	76.86	26626.51503	Americas_Canada
1992	28523502	77.95	26342.88426	Americas_Canada
1997	30305843	78.61	28954.92589	Americas_Canada
2002	31902268	79.77	33328.96507	Americas_Canada
2007	33390141	80.653	36319.23501	Americas_Canada
1952	1291695	35.463	1071.310713	Africa_Central African Republic
1957	1392284	37.464	1190.844328	Africa_Central African Republic
1962	1523478	39.475	1193.068753	Africa_Central African Republic
1967	1733638	41.478	1136.056615	Africa_Central African Republic
1972	1927260	43.457	1070.013275	Africa_Central African Republic
1977	2167533	46.775	1109.374338	Africa_Central african republic
1982	2476971	48.295	956.7529907	Africa_Central african republic
1987	2840009	50.485	844.8763504	Africa_Central african republic
1992	3265124	49.396	747.9055252	Africa_Central african republic
1997	3696513	46.066	740.5063317	Africa_Central African Republic
2002	4048013	43.308	738.6906068	Africa_Central African Republic
2007	4369038	44.741	706.016537	Africa_Central African Republic
1952	2682462	38.092	1178.665927	Africa_Chad
1957	2894855	39.881	1308.495577	Africa_Chad
1962	3150417	41.716	1389.817618	Africa_Chad
1967	3495967	43.601	1196.810565	Africa_Chad
1972	3899068	45.569	1104.103987	Africa_Chad
1977	4388260	47.383	1133.98495	Africa_Chad
1982	4875118	49.517	797.9081006	Africa_Chad
1987	5498955	51.051	952.386129	Africa_Chad
1992	6429417	51.724	1058.0643	Africa_Chad
1997	7562011	51.573	1004.961353	Africa_Chad
2002	8835739	50.525	1156.18186	Africa_Chad
2007	10238807	50.651	1704.063724	Africa_Chad
1952	6377619	54.745	3939.978789	Americas_Chile
1957	7048426	56.074	4315.622723	Americas_Chile
1962	7961258	57.924	4519.094331	Americas_Chile
1967	8858908	60.523	5106.654313	Americas_Chile
1972	9717524	63.441	5494.024437	Americas_Chile
1977	10599793	67.052	4756.763836	Americas_Chile
1982	11487112	70.565	5095.665738	Americas_Chile
1987	12463354	72.492	5547.063754	Americas_Chile
1992	13572994	74.126	7596.125964	Americas_Chile
1997	14599929	75.816	10118.05318	Americas_Chile
2002	15497046	77.86	10778.78385	Americas_Chile
2007	16284741	78.553	13171.63885	Americas_Chile
1952	556263527.999989	44	400.448610699994	Asia_China
1957	637408000	50.54896	575.9870009	Asia_China
1962	665770000	44.50136	487.6740183	Asia_China
1967	754550000	58.38112	612.7056934	Asia_China
1972	862030000	63.11888	676.9000921	Asia_China
1977	943455000	63.96736	741.2374699	Asia_china
1982	1000281000	65.525	962.4213805	Asia_china
1987	1084035000	67.274	1378.904018	Asia_china
1992	1164970000	68.69	1655.784158	Asia_china
1997	1230075000	70.426	2289.234136	Asia_China
2002	1280400000	72.028	3119.280896	Asia_China
2007	1318683096	72.961	4959.114854	Asia_China
1952	12350771	50.643	2144.115096	Americas_Colombia
1957	14485993	55.118	2323.805581	Americas_Colombia
1962	17009885	57.863	2492.351109	Americas_Colombia    
1967	19764027	59.963	2678.729839	Americas_Colombia    
1972	22542890	61.623	3264.660041	Americas_Colombia
1977	25094412	63.837	3815.80787	Americas_Colombia
1982	27764644	66.653	4397.575659	Americas_Colombia
1987	30964245	67.768	4903.2191	Americas_Colombia
1992	34202721	68.421	5444.648617	Americas_Colombia
1997	37657830	70.313	6117.361746	Americas_Colombia
2002	41008227	71.682	5755.259962	Americas_Colombia
2007	44227550	72.889	7006.580419	Americas_Colombia
1952	153936	40.715	1102.990936	Africa_Comoros
1957	170928	42.46	1211.148548	Africa_Comoros
1962	191689	44.467	1406.648278	Africa_Comoros
1967	217378	46.472	1876.029643	Africa_Comoros
1972	250027	48.944	1937.577675	Africa_Comoros
1977	304739	50.939	1172.603047	Africa_Comoros
1982	348643	52.933	1267.100083	Africa_Comoros
1987	395114	54.926	1315.980812	Africa_Comoros
1992	454429	57.939	1246.90737	Africa_Comoros
1997	527982	60.66	1173.618235	Africa_Comoros
2002	614382	62.974	1075.811558	Africa_Comoros
2007	710960	65.152	986.1478792	Africa_Comoros
1952	14100005	39.143	780.5423257	Africa_Congo, Dem. Rep.
1957	15577932	40.652	905.8602303	Africa_Congo, Dem. Rep.
1962	17486434	42.122	896.3146335	Africa_Congo, Dem. Rep.
1967	19941073	44.056	861.5932424	Africa_Congo, Dem. Rep.
1972	23007669	45.989	904.8960685	Africa_Democratic Republic of the Congo
1977	26480870	47.804	795.757282	Africa_Congo, Dem. Rep.
1982	30646495	47.784	673.7478181	Africa_Congo, Dem. Rep.
1987	35481645	47.412	672.774812	Africa_Congo, Dem. Rep.
1992	41672143	45.548	457.7191807	Africa_Congo, Dem. Rep.
1997	47798986	42.587	312.188423	Africa_Congo, Democratic Republic
2002	55379852	44.966	241.1658765	Africa_Congo, Dem. Rep.
2007	64606759	46.462	277.5518587	Africa_Congo, Dem. Rep.
1952	854885	42.111	2125.621418	Africa_Congo, Rep.
1957	940458	45.053	2315.056572	Africa_Congo, Rep.
1962	1047924	48.435	2464.783157	Africa_Congo, Rep.
1967	1179760	52.04	2677.939642	Africa_Congo, Rep.
1972	1340458	54.907	3213.152683	Africa_Congo, Rep.
1977	1536769	55.625	3259.178978	Africa_Congo, Rep.
1982	1774735	56.695	4879.507522	Africa_Congo, Rep.
1987	2064095	57.47	4201.194937	Africa_Congo, Rep.
1992	2409073	56.433	4016.239529	Africa_Congo, Rep.
1997	2800947	52.962	3484.164376	Africa_Congo, Rep.
2002	3328795	52.97	3484.06197	Africa_Congo, Rep.
2007	3800610	55.322	3632.557798	Africa_Congo, Rep.
1952	926317	57.206	2627.009471	Americas_Costa Rica
1957	1112300	60.026	2990.010802	Americas_Costa Rica
1962	1345187	62.842	3460.937025	Americas_Costa Rica
1967	1588717	65.424	4161.727834	Americas_Costa Rica
1972	1834796	67.849	5118.146939	Americas_Costa Rica
1977	2108457	70.75	5926.876967	Americas_Costa Rica
1982	2424367	73.45	5262.734751	Americas_Costa Rica
1987	2799811	74.752	5629.915318	Americas_Costa Rica
1992	3173216	75.713	6160.416317	Americas_Costa Rica
1997	3518107	77.26	6677.045314	Americas_Costa Rica
2002	3834934	78.123	7723.447195	Americas_Costa Rica
2007	4133884	78.782	9645.06142	Americas_Costa Rica
1952	2977019	40.477	1388.594732	Africa_Cote d'Ivoire
1957	3300000	42.469	1500.895925	Africa_Cote d'Ivoire
1962	3832408	44.93	1728.869428	Africa_Cote d'Ivoire
1967	4744870	47.35	2052.050473	Africa_Cote d'Ivoire
1972	6071696	49.801	2378.201111	Africa_Cote d'Ivoire
1977	7459574	52.374	2517.736547	Africa_Cote d'Ivoire
1982	9025951	53.983	2602.710169	Africa_Cote d'Ivoire
1987	10761098	54.655	2156.956069	Africa_Cote d'Ivoire
1992	12772596	52.044	1648.073791	Africa_Cote d'Ivoire
1997	14625967	47.991	1786.265407	Africa_Cote d'Ivore
2002	16252726	46.832	1648.800823	Africa_Cote d'Ivoire
2007	18013409	48.328	1544.750112	Africa_Cote d'Ivoire
1952	3882229	61.21	3119.23652	Europe_Croatia
1957	3991242	64.77	4338.231617	Europe_Croatia
1962	4076557	67.13	5477.890018	Europe_Croatia
1967	4174366	68.5	6960.297861	Europe_Croatia
1972	4225310	69.61	9164.090127	Europe_Croatia
1977	4318673	70.64	11305.38517	Europe_Croatia
1982	4413368	70.46	13221.82184	Europe_Croatia
1987	4484310	71.52	13822.58394	Europe_Croatia
1992	4494013	72.527	8447.794873	Europe_Croatia
1997	4444595	73.68	9875.604515	Europe_Croatia
2002	4481020	74.876	11628.38895	Europe_Croatia
2007	4493312	75.748	14619.22272	Europe_Croatia
1952	6007797	59.421	5586.53878	Americas_Cuba
1957	6640752	62.325	6092.174359	Americas_Cuba
1962	7254373	65.246	5180.75591	Americas_Cuba
1967	8139332	68.29	5690.268015	Americas_Cuba
1972	8831348	70.723	5305.445256	Americas_Cuba
1977	9537988	72.649	6380.494966	Americas_Cuba
1982	9789224	73.717	7316.918107	Americas_Cuba
1987	10239839	74.174	7532.924763	Americas_Cuba
1992	10723260	74.414	5592.843963	Americas_Cuba
1997	10983007	76.151	5431.990415	Americas_Cuba
2002	11226999	77.158	6340.646683	Americas_Cuba
2007	11416987	78.273	8948.102923	Americas_Cuba
1952	9125183	66.87	6876.14025	Europe_Czech Republic
1957	9513758	69.03	8256.343918	Europe_Czech Republic
1962	9620282	69.9	10136.86713	Europe_Czech Republic
1967	9835109	70.38	11399.44489	Europe_Czech Republic
1972	9862158	70.29	13108.4536	Europe_Czech Republic
1977	10161915	70.71	14800.16062	Europe_Czech Republic
1982	10303704	70.96	15377.22855	Europe_Czech Republic
1987	10311597	71.58	16310.4434	Europe_Czech Republic
1992	10315702	72.4	14297.02122	Europe_Czech Republic
1997	10300707	74.01	16048.51424	Europe_Czech Republic
2002	10256295	75.51	17596.21022	Europe_Czech Republic
2007	10228744	76.486	22833.30851	Europe_Czech Republic
1952	4334000	70.78	9692.385245	Europe_Denmark
1957	4487831	71.81	11099.65935	Europe_Denmark
1962	4646899	72.35	13583.31351	Europe_Denmark
1967	4838800	72.96	15937.21123	Europe_Denmark
1972	4991596	73.47	18866.20721	Europe_Denmark
1977	5088419	74.69	20422.9015	Europe_Denmark
1982	5117810	74.63	21688.04048	Europe_Denmark
1987	5127024	74.8	25116.17581	Europe_Denmark
1992	5171393	75.33	26406.73985	Europe_Denmark
1997	5283663	76.11	29804.34567	Europe_Denmark
2002	5374693	77.18	32166.50006	Europe_Denmark
2007	5468120	78.332	35278.41874	Europe_Denmark
1952	63149	34.812	2669.529475	Africa_Djibouti
1957	71851	37.328	2864.969076	Africa_Djibouti
1962	89898	39.693	3020.989263	Africa_Djibouti
1967	127617	42.074	3020.050513	Africa_Djibouti
1972	178848	44.366	3694.212352	Africa_Djibouti
1977	228694	46.519	3081.761022	Africa_Djibouti
1982	305991	48.812	2879.468067	Africa_Djibouti
1987	311025	50.04	2880.102568	Africa_Djibouti
1992	384156	51.604	2377.156192	Africa_Djibouti
1997	417908	53.157	1895.016984	Africa_Djibouti
2002	447416	53.373	1908.260867	Africa_Djibouti
2007	496374	54.791	2082.481567	Africa_Djibouti
1952	2491346	45.928	1397.717137	Americas_Dominican Republic
1957	2923186	49.828	1544.402995	Americas_Dominican Republic
1962	3453434	53.459	1662.137359	Americas_Dominican Republic
1967	4049146	56.751	1653.723003	Americas_Dominican Republic
1972	4671329	59.631	2189.874499	Americas_Dominican Republic
1977	5302800	61.788	2681.9889	Americas_Dominican Republic
1982	5968349	63.727	2861.092386	Americas_Dominican Republic
1987	6655297	66.046	2899.842175	Americas_Dominican Republic
1992	7351181	68.457	3044.214214	Americas_Dominican Republic
1997	7992357	69.957	3614.101285	Americas_Dominican Republic
2002	8650322	70.847	4563.808154	Americas_Dominican Republic
2007	9319622	72.235	6025.374752	Americas_Dominican Republic
1952	3548753	48.357	3522.110717	Americas_Ecuador
1957	4058385	51.356	3780.546651	Americas_Ecuador
1962	4681707	54.64	4086.114078	Americas_Ecuador
1967	5432424	56.678	4579.074215	Americas_Ecuador
1972	6298651	58.796	5280.99471	Americas_Ecuador
1977	7278866	61.31	6679.62326	Americas_Ecuador
1982	8365850	64.342	7213.791267	Americas_Ecuador
1987	9545158	67.231	6481.776993	Americas_Ecuador
1992	10748394	69.613	7103.702595	Americas_Ecuador
1997	11911819	72.312	7429.455877	Americas_Ecuador
2002	12921234	74.173	5773.044512	Americas_Ecuador
2007	13755680	74.994	6873.262326	Americas_Ecuador
1952	22223309	41.893	1418.822445	Africa_Egypt
1957	25009741	44.444	1458.915272	Africa_Egypt
1962	28173309	46.992	1693.335853	Africa_Egypt
1967	31681188	49.293	1814.880728	Africa_Egypt
1972	34807417	51.137	2024.008147	Africa_Egypt
1977	38783863	53.319	2785.493582	Africa_Egypt
1982	45681811	56.006	3503.729636	Africa_Egypt
1987	52799062	59.797	3885.46071	Africa_Egypt
1992	59402198	63.674	3794.755195	Africa_Egypt
1997	66134291	67.217	4173.181797	Africa_Egypt
2002	73312559	69.806	4754.604414	Africa_Egypt
2007	80264543	71.338	5581.180998	Africa_Egypt
1952	2042865	45.262	3048.3029	Americas_El Salvador
1957	2355805	48.57	3421.523218	Americas_El Salvador
1962	2747687	52.307	3776.803627	Americas_El Salvador
1967	3232927	55.855	4358.595393	Americas_El Salvador
1972	3790903	58.207	4520.246008	Americas_El Salvador
1977	4282586	56.696	5138.922374	Americas_El Salvador
1982	4474873	56.604	4098.344175	Americas_El Salvador
1987	4842194	63.154	4140.442097	Americas_El Salvador
1992	5274649	66.798	4444.2317	Americas_El Salvador
1997	5783439	69.535	5154.825496	Americas_El Salvador
2002	6353681	70.734	5351.568666	Americas_El Salvador
2007	6939688	71.878	5728.353514	Americas_El Salvador
1952	216964	34.482	375.6431231	Africa_Equatorial Guinea
1957	232922	35.983	426.0964081	Africa_Equatorial Guinea
1962	249220	37.485	582.8419714	Africa_Equatorial Guinea
1967	259864	38.987	915.5960025	Africa_Equatorial Guinea
1972	277603	40.516	672.4122571	Africa_Equatorial Guinea
1977	192675	42.024	958.5668124	Africa_Equatorial Guinea
1982	285483	43.662	927.8253427	Africa_Equatorial Guinea
1987	341244	45.664	966.8968149	Africa_Equatorial Guinea
1992	387838	47.545	1132.055034	Africa_Equatorial Guinea
1997	439971	48.245	2814.480755	Africa_Equatorial Guinea
2002	495627	49.348	7703.4959	Africa_Equatorial Guinea
2007	551201	51.579	12154.08975	Africa_Equatorial Guinea
1952	1438760	35.928	328.9405571	Africa_Eritrea
1957	1542611	38.047	344.1618859	Africa_Eritrea
1962	1666618	40.158	380.9958433	Africa_Eritrea
1967	1820319	42.189	468.7949699	Africa_Eritrea
1972	2260187	44.142	514.3242082	Africa_Eritrea
1977	2512642	44.535	505.7538077	Africa_Eritrea
1982	2637297	43.89	524.8758493	Africa_Eritrea
1987	2915959	46.453	521.1341333	Africa_Eritrea
1992	3668440	49.991	582.8585102	Africa_Eritrea
1997	4058319	53.378	913.47079	Africa_Eritrea
2002	4414865	55.24	765.3500015	Africa_Eritrea
2007	4906585	58.04	641.3695236	Africa_Eritrea
1952	20860941	34.078	362.1462796	Africa_Ethiopia
1957	22815614	36.667	378.9041632	Africa_Ethiopia
1962	25145372	40.059	419.4564161	Africa_Ethiopia
1967	27860297	42.115	516.1186438	Africa_Ethiopia
1972	30770372	43.515	566.2439442	Africa_Ethiopia
1977	34617799	44.51	556.8083834	Africa_Ethiopia
1982	38111756	44.916	577.8607471	Africa_Ethiopia
1987	42999530	46.684	573.7413142	Africa_Ethiopia
1992	52088559	48.091	421.3534653	Africa_Ethiopia
1997	59861301	49.402	515.8894013	Africa_Ethiopia
2002	67946797	50.725	530.0535319	Africa_Ethiopia
2007	76511887	52.947	690.8055759	Africa_Ethiopia
1952	4090500	66.55	6424.519071	Europe_Finland
