"CREATEUSERID";"TITLE";"ABSTRACT";"TYPDOC"
"Hojsgaard Soren";"Ironing online data until they are smooth enough with the dataIrony package";"The dataIrony package grew out of the need for smoothing online data
acquired in an agricultural science setting. Typical for such data, in
addition to becomming available online, is that there is no underlying
model describing the trend of data and data are often measured at
non-equidistant time points. Methods available in the package includes
exponential smoothing and recursive least squares methods. We shall
illustrate the applications of the package in a setting related
monitoring live weight of dairy cattle.";"lightning talk"
"Sanchez-Pla Alex";"Lheuristic-A Shiny app to select genes potentially regulated by methylation";"Methylation is a key process in cancer. Usually it acts by inhibiting the expression of the gene but if methylation is low then any values of expression, high or low, can be found. This suggests that to select genes regulated by methylation one may look for patterns in the relation between gene expression and methylation showing either an L-shape or negative correlation between expression and methylation. We have developed a heuristic algorithm that mimics the process of visually selecting an ?L-shape?, that is genes that can show a wide range of expression values (low to high) when methylation is low, but only low expressions for intermediate or high methylation. We have compared the method with naïve correlation and, despite not being able to quantify its accuracy -because no dataset with ?TRUE? L-shaped genes is available- its performance seems to be very good especially due to its flexibility. The method has been implemented in an R package, ?Lheuristic? and a Shiny application, both available from GitHub (http://github.com/alexsanchezpla). Given two matrices -expression and methylation values - with the same row and column names the program offers the possibility to select genes based on either negative correlation, the heuristic algorithm or both methods at once. Once genes have been selected, results can be interactively reviewed, plotted or downloaded.";"poster"
"Alvarez Adolfo";"Building your machinery: an example of processes and solutions from marketing analytics";"In this poster we present how our data science team built an integrated set of tools for the full process of marketing analytics including data integration, transformation, modeling, reporting, simulation, and optimization. This poster focus on the process itself, giving an schematic view of the different tools we use, the scripts we have written, and how R was integrated with other software such as Bash, Bitbucket, H2O, or Docker among others.";"poster"
"Birr Stefan";"Pattern localization in electrical time series";"Using the rstudio interface to keras and tensorflow in R we constructed and trained a convolutional neural network to detect start and end time of a single device run from the consumption data of the complete household. This technique can be used in the area of non-intrusive load monitoring, to extract the consumption of single devices from the whole signal. Furthermore, it enables us to learn about the frequency and the typical time when a device is used in a household. While Deep Learning techniques require access to rather large datasets, the process of collecting this data is time and cost intensive. Also in the area of non-intrusive load monitoring the labelling is often not reliable enough. Therefore we created a large artificial dataset combining extracted pattern, created by collecting consumption pattern with smart plugs, and noise from multiple smartmeter readings. This enabled us to perform the training on a much bigger dataset than usually available. Another fascinating finding was that, although feature engineering is rather atypical when using deep learning, we were able to enhance our results significantly and were able to counter the information loss that comes with the necessary batch normalization. Additionally to our methods and models, I would also like to give some insights on the experimental iterations we went through before we arrived at our present result.  ";"poster"
"Michonneau Francois";"How a non-profit uses R for its daily operations?";"The Carpentries is a non-profit organization that organizes a global community of scientists that runs workshops where researchers are taught foundational computational and data science skills. Since 2012, The Carpentries has taught 2,000+ workshops in 46 countries reaching 38,000+ learners.    Here, I will present how The Carpentries uses R in its daily operations. From analyzing our survey results, to sending personalized certificates of workshop attendance to learners, from creating live-updating visualizations for our workshop instructors to understand their audience before the workshops, to our lesson templates, I will go through some examples of how R has become a central part of how we set up our systems to manage and automate our workflows within our organization.   The combination of literate programming to generate reports, web application development with shiny, and the availability of packages to interact with the web API for many of the online tools and services we use, has allowed us to develop custom workflows. We can iterate quickly and deploy using continuous integration services and Docker.   This talk will be of interest to organizations looking to automate their operations to demonstrate how R can successfully be used in production.";"oral presentation"
"Protacio Angeline";"Using R and the Tidyverse to Play Fantasy Baseball";"Of the existing R packages that help analyze baseball statistics, few are geared toward fantasy baseball, which benefits from projection data for drafting a team, and updated data for daily analysis to set game day rosters and maintain a fantasy team. This talk describes how to use the tidyverse package suite to bring in baseball projected and actualized data, analyze baseball statistics relevant to fantasy baseball, draft a competitive fantasy baseball team, and maintain this team throughout the course of a season. By applying the tidyverse package suite of data cleaning and visualization tools to baseball statistical analysis, R users already familiar with this popular suite of packages can learn how to play and succeed at fantasy baseball. Users not already familiar with fantasy sports can expect a quick primer on fantasy baseball and statistics, sourcing baseball data for analysis, and analytic approaches to apply to a league of their own. ";"lightning talk"
"Genaro Sucarrat";"General-to-Specific (GETS) Modelling with User-Specified Estimators and Models";"General-to-Specific (GETS) modelling provides a comprehensive, systematic and cumulative approach to statistical modelling ideally suited for hypothesis testing, forecasting and counterfactual analysis. The implementation of GETS-modelling, however, puts a large programming-burden on the user, and may require substantial computing power. We develop a framework for GETS-modelling with user-specified estimators and models, and provide flexible and computationally efficient functions via the R package gets (Pretis, Reade and Sucarrat (2018), J. of Statistical Software). In addition, the framework permits the user-specified estimation to be implemented in an external language (e.g.\ C++, Python, STATA, EViews, MATLAB, etc.).";"oral presentation"
"Hejblum Boris";"VICI: a Shiny app for accurate estimation of Vaccine Induced Cellular Immunogenicity with bivariate modeling";"In vaccine clinical development, it is important to assess the ability of a candidate vaccine to generate immune responses. Cellular immunogenicity is usually measured by Intra-Cellular Staining (ICS) after specific stimulation. The usual method for the analyzing such data is to i) first subtract the response observed in non-stimulated cells from each stimulated sample; ii) then perform an inter- or intra-arm comparison of the percentages of cells producing cytokine(s) of interest. Step i) aims at capturing the antigen-specific response, but the subtraction may induce biased estimates and compromise type 1 error and harm statistical power. We have proposed a bivariate regression model as a new method for an accurate estimation of the vaccine effect from ICS data in vaccine trials. This allows to model a linear relationship between the non-stimulated response and the antigenic responses, while taking into account both of their measurement errors, taking all available cellular response information into account. Our method displays good performances in terms of bias, type I error control and statistical power under various scenarios in numerical simulations. We present a user-friendly R Shiny application (relying on the nlme package) that we implemented for immunologists to be able to use our method directly, and we applied it to analyze data from two HIV vaccine trials.";"lightning talk"
"Coors Stefan";"mlr3ordinal";"Ordinal regression is a method to model targets of ordinal nature, e.g. preference values. We present a more efficient and general alternative compared to classical approaches like ordinal binary decomposition or traditional statistical thresholding models such as the cumulative link. These classical approaches are either computationally demanding - as they require fitting of multiple models - or are limited to a single, often linear model. Our model-agnostic approach casts the problem as a regression problem first, then assigns ordinal classes by optimizing multiple thresholds. This allows the use of arbitrary non-linear ML regression techniques, including ensembles or model stacks. Thresholds are determined by black-box optimizing them w.r.t. to any performance measure of choice and cross-validation to avoid overfitting. The package also includes common ordinal regression performance measures for model evaluation.  ";"poster"
"Grose Daniel";"Collective and Point Anomaly Detection in R";"Anomaly detection is a topic of considerable importance and has been subject to increasing attention in recent years. This is certainly true within the R community, as evidenced by the number of packages hosted by CRAN related to this area.

The majority of packages contain approaches aimed at detecting point anomalies i.e. single observations, which are anomalous with regards to their data context. We introduce the anomaly package, which contains novel methodology aimed at detecting not only point anomalies but also collective anomalies, i.e., anomalous data segments. Importantly, the main algorithm of the package is capable of simultaneously detecting and distinguishing between both anomaly types. The utility of this approach is demonstrated on both simulated data, and real astrophysical data from NASA's Kepler telescope, which is included within the package.";"oral presentation"
"Vaidyanathan Ramnath";"satin: Large Beautiful Shiny Dashboards Made Easy!";"Dashboards built using Shiny and shinydashboard have made their way into multiple industries ranging from finance to consulting. They provide a really powerful way for data scientists to turn their analyses and insights into an engaging experience that can be consumed by others. However, building such large dashboards in a collaborative manner has been a challenge. In this talk, I will introduce the R package, satin, that provides a highly opinionated way to organize and build large, multi-page shiny dashboards. Satin (http://github.com/ramnathv/satin) allows users to focus on building independent modules for each page of the dashboard following a minimal set of conventions, and relegates all the boilerplate code involding in laying them out in the dashboard to a simple YAML configuration file. We have used satin successfully at DataCamp to deploy a large dashboard app developed in a highly collaborative manner. In this talk, I will (1) introduce satin and demonstrate its capabilities, (2) build a dashboard using satin in real-time, and (3) present best practices on developing large shiny apps. This talk is aimed at those with some experience/interest in building dashboards with shiny.";"oral presentation"
"Gasparrini Antonio";"The R package mixmeta: an extended mixed-effects framework for meta-analysis";"The package mixmeta offers an extended mixed-effects framework for meta-analysis, where potentially complex patterns of e?ect sizes are modelled through a ?exible structure of ?xed and random terms. This allows the definition of standard univariate fixed and random-effects models, but also extensions separately proposed in the literature, such as multivariate, network, multilevel, longitudinal, and dose-response meta-analysis and meta-regression. The main function mixmeta provides a simple way to specify alternative models through a formula syntax consistent with standard linear mixed-effects packages. Likelihood-based estimation procedures are implemented using an efficient and robust hybrid approach consisting of a combination of iterative generalized least squares and Newton-type algorithms. Methods functions for standard regression tasks and specific meta-analytical summaries. The package is thoroughly documented and includes illustrative examples that replicate published analyses using a variety of meta-analytical models.";"oral presentation"
"Sasso-Schafer Katie";"Transitioning from Academia to Industry: Using R for CaRReeR Success";"The academic job market can be tough, with limited positions and little flexibility in where you live and work. Given this, many Ph.D. students are seeking ?industry? or business focused careers. In this talk, you will learn how to translate your R and statistics expertise from your academic research into ?business speak?. From physics and psychology to political science and statistics, learn how to make your PhD training work for you. Practical discussion of topics including: converting your CV to a resume using packages like page-down, translating your academic statistics training into sexy ?machine learning? skills and key packages to know (xgboost, Caret, GAMLSS) and other resources like Interpretable Machine Learning by Molnar and Feature Engineering and Selection: A Practical Approach for Predictive Models, by Kuhn & Johnson. Perhaps less intuitive but equally important skills will also be discussed including networking, business acronyms, and some considerations to help guide your decision. Practical handouts including a statistical terms cheat sheet and a CV to Resume helper will be provided.";"poster"
"Falip Joris";"Why do we even use that?! Learning how to teach R while teaching how to learn R";"After teaching a computer science class introducing economics students to programming using R, I want to share a post mortem of what went wrong, why, and how I tried to overcome these difficulty. It encompasses the ""teaching base R or tidyverse"" question, the ease of access of some more advanced features like RMarkdown (and even Git) and the pros and cons of R as a first programming experience. The whole argument is based on an extensive survey involving close to fifty students from different backgrounds, using it to showcase their difficulties and joys in learning to code, using their own words";"poster"
"Beatriz Milz Beatriz";"The evolution and importance of the R-Ladies São Paulo chapter in Brazil";"R-Ladies is an worldwide organization that promotes gender diversity in the R community. Brazil is a developing country in Latin America, that currently has 9 R-Ladies chapters, and the one in Sao Paulo was created in August 2018. By February 2019, it had almost 300 members, showing an impressive growth in such a small period of time. The chapter already held 7 events (four 3 hour meetups, one datathon and 2 whole day workshops), and other meetings are being planned. All of the content presented is made available on github, so anyone can access it. The group provides a safe environment for people interested in R, and all of the activities are free to attend. The gratuity of the activities is very relevant in the Brazilian context, since the few R courses available in Portuguese are often expensive, and there is no other active R group in Sao Paulo. The chapter also collaborates with other projects, through lectures and workshops, also always open to the community. The increasing popularity of the group shows us how important it is to support it, what can be the key to motivate the creation of other chapters in Brazil and increase the strength of the Brazilian R community.";"lightning talk"
"Millo Giovanni";"Common Correlated Effects Methods in R";"In the last decade, econometricians have devoted increasing attention first to the issues of nonstationarity and cointegration in pooled time series data, then to the related problem of crosssectional dependence induced by common factors. Among different approaches, Pesaran's Common Correlated Effects (CCE) augmentation has proved particularly promising both for consistent estimation and unit root testing under nonstationarity and cross-sectional strong dependence. An extension of package plm is described, comprising pooled and heterogeneous CCE estimators in both the mean groups and the generalized fixed effects (CCEP) styles. The same software framework allows for cross-sectional-correlation robust, so-called second generation unit root tests as cross-sectionally augmented Dickey-Fuller (CADF) regressions; and for common-factor robust pooling tests as well. Lastly, implementing CCE estimators as OLS on transformed (here: projected) data allows for easily extending the general framework for cluster-robust and for block-bootstrapped standard errors to this class of estimators.

";"oral presentation"
"Perrot-Dockes Marie";"Penalized regressions to study multivariate linear models : the VariSel package.";"We propose a new methodology to study multivariate linear models.
It consists in estimating the covariance matrix of the responses beforehand and plugging this estimator into a penalized regression model to perform variable selection.
Depending on the application field and the data at hand, different penalizations are preferred. For example, recoursing on a l1-norm penalty performs a ""simple"" selection in the regression coefficients. In certain situations, we need to select the same variable for all the responses or a group of variables all together. This can be done by means of a penalty similar to the sparse group Lasso (Yuan and Lin (2006)). Another example is the fused-Lasso penalty, where one want to influence variables to have the same coefficient (Hoefling (2010)). We study an example in genomic for study water-use efficiency (WE) of vine. The covariables are the number of replicates of the different alleles of different genes and the responses characterize the WE of the different vines. The aim is to select genes or alleles that have an effect on this WE. We consider several ways to study the problem: either by selecting an allele of a gene for a specific response or by influencing it to have the same coefficients for all the responses. It can also be interesting to select all the alleles of the same gene together. The presentation will show how to do all of this with the VariSel package.";"lightning talk"
"Preu Friedrike";"Authentication and authorization in plumber with the sealr package";"Application Programming Interfaces (APIs) have become the most common way how services ""talk"" to each other, e.g. in a typical frontend-backend design. The plumber package offers capabilities to implement an API in R, making it possible to use R for software development use cases that often require security best practices. In my talk, I will show how we can use plumber filters to secure plumber APIs. I then present the sealr package (github.com/jandix/sealr) which provides standardized strategies for authentication and authorization, namely JSON Web Tokens (JWT) (implemented), OAuth2 and general API tokens (under development at time of submission). sealr is inspired by the manifold passport.js package for Node.js. The main functionality of sealr is verifying tokens sent to plumber - how those tokens are issued by plumber is not covered (yet) as it is highly application-specific. However, we provide implementation examples for each method.
As authentication middleware specifically developed for the plumber framework, sealr differs from packages such as sodium, openssl, jose and bcrypt that implement specific encryption and/or hashing algorithms. secret, digest and keyring are used for securely storing (R) objects.
With sealr, we aim to make authentication and authorization as easy as possible to implement for R users so that plumber APIs can be used in security-sensitive environments.";"oral presentation"
"Alvarez Castro Ignacio";"Visualizing and modeling educational online platform data";"Plan Ceibal is an uruguayan initiative to implement the ""One lapto per child"" program, it was created in 2007 as a plan for inclusion and equal opportunities in acces to tecnology within uruguayan educational public system. The main concept of Plan Ceibal program consist in that every child who enters the public education system in any part of the country is given a computer for personal use with free Internet connection at school. Huge ammount of data is generated each year describing the use of many different digital plataforms with interesting patterns at many levels of study (child, class, school, regions, etc). There are two main goals in this paper. First, we develop interactive tools to summarize and vizualize how digital plataforms are actually being use by the primary school students. This would help authorities to asses and understand how tecnology is being used in the classroom. Shiny, ggplot2 and plotly packages are intensivelly used for this goal. Secondly, statistical models to understand the impact of the so-called blended learning programs in student performance are proposed. Machine learning algorithms are used, the analysis need to be scalable since the large amount of the data generated every day by the different digital plataforms. H2O package is used in order to be able to fit these models in reasonable time.    ";"poster"
"Nazarov Maxim";"Packaging shiny applications";"Shiny applications are ubiquitous nowadays and traditionally created as a collection of R script files (optionally with external resources, such as images, css files etc). When the applications grow larger it may become difficult to manage these files.

I will advocate the use of R packages for creation of shiny applications. This approach allows to leverage all the advantages of the R packaging ecosystem, including managing namespaces and dependencies, versioning, documentation and tests. These are especially important when deploying and supporting shiny applications in production. In particular I will talk about using functions to define both ""server"" and ""ui"" components, and separating logical application pieces into shiny modules for easier structuring and sharing.

The aim of this talk is to encourage people to try this approach by discussing the differences with the traditional (file-based) approach, advantages of having an R package and things to watch out for. Finally I will mention how a packaged shiny application can be deployed in an enterprise context using ShinyProxy.";"lightning talk"
"Schmid Roland";"compareWith - user-friendly diff viewing and VCS interaction";"Version control systems provide an important environment for controlled code and software development. In the case of R and RStudio however, the integration of version control tools is still significantly behind what is desirable. This has become a common typical concern for the whole community, especially with the uprise of Github and git for open-source R package development, where issues are being tackled through separate branches and contributors are more numerous and heterogenous.

Command-line git interaction can be an additional barrier and so individuals and organizations have sought different ways to deal with the shortcomings. In this talk, we propose a flexible light-weight combination with Meld (http://meldmerge.org/), an open-source visual diff and merge tool, and demonstrate ""compareWith"" (https://github.com/miraisolutions/compareWith), an R package that allows users to interact with Meld from within RStudio.

compareWith provides user-friendly addins that enable and improve tasks that are otherwise difficult or impossible without any custom extension.
Examples include: i) compare differences prior to commit, for single active files or the whole project; ii) resolve and merge conflicts via three-way comparison; iii) compare 2 distinct files with each other. Even simple tasks benefit from the improved diff viewing tool compared to what is built into RStudio.";"lightning talk"
"Wiedemann Kenia";"Mathematical Modeling with R: Embedding Computational Thinking into High School Math Classes in the United States";"Only 35% of high schools in the US offer computer science (CS). However, by 2020 50% of all new STEM jobs will require some knowledge in CS and coding. Developing computational thinking (CT) across all disciplines and educational levels have become a priority for scholars and agencies, urging to integrate CT across K-12 curricula. CT can be better learned when blended to primary subject areas. CodeR4MATH is an NSF-funded project working to provide a collection of learning and tutoring resources for math educators to collaborate in an R environment. Linking math to real-life problem solving, math modeling is an iterative process involving situation representation, math operations, interpretation, and validation. The modules are being developed to be used in high school math classes in Stats, Algebra I and II. We present here the results from the first module (named Lifehacking) implementation, showing students greatly benefit from investigating meaningful problems that appeal to their personal interests. It guides students to model in R to answer practical questions such as the costs of eating in college or the costs of owning a car. Tasks are delivered via R tutorials using learnr tools, with students using real data to create their models. They are then guided to move to RStudio exploring its capabilities. The 2nd and 3rd modules are under development, focusing on Earth Sciences and Engineering.";"oral presentation"
"Porreca Riccardo";"Shiny app deployment and integration into a custom website gallery";"R Shiny has become overwhelmingly popular and widespread in the R community. Shiny web applications provide companies and individuals with an excellent way of demoing and showcasing data analytics and visualization, and interactive R-based projects in general. Although products and services exist for exposing Shiny apps on the web (Shiny Server, RStudio Connect, Shinyapps.io, ShinyProxy), there is a desire for and a clear benefit of full integration with an existing website. This allows providers to retain full flexibility in terms of customization and the experience provided to users exploring their apps. In this talk, we cover the challenges and requirements for the seamless embedding and integration of Shiny apps into a custom gallery part of a larger website. We will show how we used Docker and Kubernetes as natural choices for deploying and running Shiny apps, and for customizing the way they are served and made accessible through the web. We explain how to set up an embeddable Shiny app, how to build, maintain and deploy the corresponding Docker image, and how to configure the relevant Kubernetes resources. Finally, we will demonstrate how all this can easily be combined into a GitHub Pages website based on Jekyll.";"oral presentation"
"Gallopin Mélina";"Appinetwork : Analysis of Protein-Protein Interaction NETwork";"We present the package appinetwork (Analysis of Protein-Protein Interaction NETwork), a tool that facilitates extraction and analysis of physical or genetic interactions between proteins in various organisms. The Protein-Protein Interactions (PPI) files come from personal ressources or different public repositories (IntAct, BioGRID, iRefIndex... ). The package enables to reformat the files coming from different ressources and provide an output file with the different identification numbers of the same protein across the repositories. Starting from a list of proteins provided by the user (proteins of a given biological process or subunits of a protein complex), appinetwork extracts from the formatted files the relevant interactions and constructs the PPI networks of first and second degrees of the input list. Subsequently, the package enables to look for assembly intermediaries using several computing methods and to search for all proteins involved in the biological process of interest. The user can easily choose the action to carry out (Files formatting / Building the network / Searching for proteins involved in a biological process / Modeling the assembly of a protein complex) and the parameters via a user-friendly interface. Results are provided in files that could be easily exported. The package is available on GitHub https://github.com/melinagallopin/appinetwork.";"poster"
"Miller Mikaela";"Becoming a mission-driven R-ganization: examples of R solutions in the non-profit sector";"Children International (CI) in a mission-driven organization based in Kansas City, MO, USA that works in ten countries to end poverty through local partnerships, and child and youth programming in the areas of health, education, empowerment, and employment. As with many non-profit organizations, CI has experienced resource constraints concerning information management and data analysis. In 2017, CI formed a new analytics department charged with providing data understandings and insights to various levels of the organization. Open-source and available to all constituents globally, R has been used for ad hoc analyses and provided a number of no-cost solutions in the form of functions, Shiny apps, and parameterized reports. An auto-modeler was built using xgboost to aid in predictive modeling for targeting of various marketing and fundraising campaigns. Through the deployment of an R Shiny app, the client care team was provided with a ?next-best action? and data capture tool to enhance and automate the existing spreadsheet-managed process. R Markdown parameterized reports and an R Shiny app have been created for the global programs team to assess nutritional status of children according to WHO standards. The development of these flexible and interactive tools through R has begun to facilitate a culture transition to wiser and more efficient usage of data.";"poster"
"Fabiola La Gamba";"Bayesian sequential integration within a preclinical PK/PD modeling framework using rstan package: Lessons learned";"Although Bayesian methods are expanding considerably, their applications in the field of pharmacokinetic/pharmacodynamic (PK/PD) modelling is still relatively limited. In this work, Bayesian techniques are used to estimate a novel PK/PD model developed to quantify the PD synergy between two compounds using historical in vivo data. The model is fitted using package rstan, the R interface to Stan. Stan is a recently developed software package which allows an efficient estimation using the No-U-Turn Sampler (NUTS). rstan facilitates the use of this powerful tool, allowing to run Stan models within R. Since the data consist of a series of trials performed sequentially, a Bayesian sequential integration is considered: the posteriors resulting from the analysis of one trial are used to specify the priors of the next trial. Challenges and opportunities of this technique will be discussed with respect to: (i) prior specification, (ii) random effect choice, (iii) experimental design. In addition, the results from an extensive simulation study assessing the performance of the Bayesian sequential integration for an increasing model complexity are evaluated. The results suggest that the Bayesian sequential integration is promising in certain settings. The specification of informative priors and a suitable experimental design are nevertheless advisable, especially in preclinical studies.";"lightning talk"
"Flores Siaca Ian";"La combinaison du Linux et la R: how to use them together for open science";"   The first version of Linux was released in 1991 and the first version of R was released in 1993. Since then, both ecosystems have developed into immense open source communities. Nevertheless, using Linux and R together still seems exclusive to people focusing in bioinformatics, High Performance Computing and some developers. In this lightning talk, I aim to explain why the use of Linux and R is beneficial in the long term for the R community. I will also add on to address how it helps bring people from diverse backgrounds by making computing resources more accessible. (1.5 min) After this, I will explain how people can get started in Linux and the steps to get up to there using as example the installation of the tidyverse. This will also include an explanation of how the installation process is different between Operating Systems. (2.5 min) To conclude the talk, I will proceed with an explanation of how Linux can be incorporated in the educational process of teaching R. (1 min) This talk would be aimed at R users who are interested in incorporating Linux to their R workflows.";"lightning talk"
