"Your_github","Instructions"
"mattsada","Please add [mlawre01](https://github.com/mlawre01) and [vmichalowski](https://github.com/vmichalowski) as collaborators to your repo containing hw08. Please __review the hw08 submission of [mylinhthibodeau](https://github.com/mylinhthibodeau) and [ZimingY](https://github.com/ZimingY)__."
"menglinzhou","Please add [yanchaoluo](https://github.com/yanchaoluo) and [vibudh2209](https://github.com/vibudh2209) as collaborators to your repo containing hw08. Please __review the hw08 submission of [sepkamal](https://github.com/sepkamal) and [Kozp](https://github.com/Kozp)__."
"mlawre01","Please add [margotgunning](https://github.com/margotgunning) and [yidie](https://github.com/yidie) as collaborators to your repo containing hw08. Please __review the hw08 submission of [vmichalowski](https://github.com/vmichalowski) and [mattsada](https://github.com/mattsada)__."
"mylinhthibodeau","Please add [vmichalowski](https://github.com/vmichalowski) and [mattsada](https://github.com/mattsada) as collaborators to your repo containing hw08. Please __review the hw08 submission of [ZimingY](https://github.com/ZimingY) and [heathersummers](https://github.com/heathersummers)__."
"peterwhitman","Please add [KateJohnson](https://github.com/KateJohnson) and [yuanjisun](https://github.com/yuanjisun) as collaborators to your repo containing hw08. Please __review the hw08 submission of [ilgan](https://github.com/ilgan) and [CassKon](https://github.com/CassKon)__."
"qiaoyuet","Please add [zxkathy](https://github.com/zxkathy) and [yeonukkim](https://github.com/yeonukkim) as collaborators to your repo containing hw08. Please __review the hw08 submission of [KateJohnson](https://github.com/KateJohnson) and [yuanjisun](https://github.com/yuanjisun)__."
"rainerlempert","Please add [marbazua](https://github.com/marbazua) and [SonjaS1](https://github.com/SonjaS1) as collaborators to your repo containing hw08. Please __review the hw08 submission of [xinmiaow](https://github.com/xinmiaow) and [emilymistick](https://github.com/emilymistick)__."
"rishadhabib","Please add [Tangjiahui26](https://github.com/Tangjiahui26) and [gbraich](https://github.com/gbraich) as collaborators to your repo containing hw08. Please __review the hw08 submission of [dorawyy](https://github.com/dorawyy) and [marbazua](https://github.com/marbazua)__."
"santiagodr","Please add [swynes](https://github.com/swynes) and [AnhKhoaVo](https://github.com/AnhKhoaVo) as collaborators to your repo containing hw08. Please __review the hw08 submission of [hannahdxz](https://github.com/hannahdxz) and [yanchaoluo](https://github.com/yanchaoluo)__."
"sepkamal","Please add [vibudh2209](https://github.com/vibudh2209) and [menglinzhou](https://github.com/menglinzhou) as collaborators to your repo containing hw08. Please __review the hw08 submission of [Kozp](https://github.com/Kozp) and [bcahn7](https://github.com/bcahn7)__."
"Shirlett","Please add [hsmohammed](https://github.com/hsmohammed) and [Mathnstein](https://github.com/Mathnstein) as collaborators to your repo containing hw08. Please __review the hw08 submission of [Alexander-Morin](https://github.com/Alexander-Morin) and [abishekarun](https://github.com/abishekarun)__."
"SonjaS1","Please add [dorawyy](https://github.com/dorawyy) and [marbazua](https://github.com/marbazua) as collaborators to your repo containing hw08. Please __review the hw08 submission of [rainerlempert](https://github.com/rainerlempert) and [xinmiaow](https://github.com/xinmiaow)__."
"suminwei2772","Please add [xinyaofan](https://github.com/xinyaofan) and [wswade2](https://github.com/wswade2) as collaborators to your repo containing hw08. Please __review the hw08 submission of [arthursunbao](https://github.com/arthursunbao) and [farihakhan](https://github.com/farihakhan)__."
"swynes","Please add [HScheiber](https://github.com/HScheiber) and [juansbr7](https://github.com/juansbr7) as collaborators to your repo containing hw08. Please __review the hw08 submission of [AnhKhoaVo](https://github.com/AnhKhoaVo) and [santiagodr](https://github.com/santiagodr)__."
"Tangjiahui26","Please add [arthursunbao](https://github.com/arthursunbao) and [farihakhan](https://github.com/farihakhan) as collaborators to your repo containing hw08. Please __review the hw08 submission of [gbraich](https://github.com/gbraich) and [rishadhabib](https://github.com/rishadhabib)__."
"vanflad","Please add [CassKon](https://github.com/CassKon) and [cheungamanda](https://github.com/cheungamanda) as collaborators to your repo containing hw08. Please __review the hw08 submission of [margotgunning](https://github.com/margotgunning) and [yidie](https://github.com/yidie)__."
"vibudh2209","Please add [hannahdxz](https://github.com/hannahdxz) and [yanchaoluo](https://github.com/yanchaoluo) as collaborators to your repo containing hw08. Please __review the hw08 submission of [menglinzhou](https://github.com/menglinzhou) and [sepkamal](https://github.com/sepkamal)__."
"vmichalowski","Please add [yidie](https://github.com/yidie) and [mlawre01](https://github.com/mlawre01) as collaborators to your repo containing hw08. Please __review the hw08 submission of [mattsada](https://github.com/mattsada) and [mylinhthibodeau](https://github.com/mylinhthibodeau)__."
"wenzhengzzz","Please add [Kozp](https://github.com/Kozp) and [bcahn7](https://github.com/bcahn7) as collaborators to your repo containing hw08. Please __review the hw08 submission of [xinyaofan](https://github.com/xinyaofan) and [wswade2](https://github.com/wswade2)__."
"wswade2","Please add [wenzhengzzz](https://github.com/wenzhengzzz) and [xinyaofan](https://github.com/xinyaofan) as collaborators to your repo containing hw08. Please __review the hw08 submission of [suminwei2772](https://github.com/suminwei2772) and [arthursunbao](https://github.com/arthursunbao)__."
"xinmiaow","Please add [SonjaS1](https://github.com/SonjaS1) and [rainerlempert](https://github.com/rainerlempert) as collaborators to your repo containing hw08. Please __review the hw08 submission of [emilymistick](https://github.com/emilymistick) and [emwest](https://github.com/emwest)__."
"xinyaofan","Please add [bcahn7](https://github.com/bcahn7) and [wenzhengzzz](https://github.com/wenzhengzzz) as collaborators to your repo containing hw08. Please __review the hw08 submission of [wswade2](https://github.com/wswade2) and [suminwei2772](https://github.com/suminwei2772)__."
"yanchaoluo","Please add [santiagodr](https://github.com/santiagodr) and [hannahdxz](https://github.com/hannahdxz) as collaborators to your repo containing hw08. Please __review the hw08 submission of [vibudh2209](https://github.com/vibudh2209) and [menglinzhou](https://github.com/menglinzhou)__."
"yeonukkim","Please add [abishekarun](https://github.com/abishekarun) and [zxkathy](https://github.com/zxkathy) as collaborators to your repo containing hw08. Please __review the hw08 submission of [qiaoyuet](https://github.com/qiaoyuet) and [KateJohnson](https://github.com/KateJohnson)__."
"yidie","Please add [vanflad](https://github.com/vanflad) and [margotgunning](https://github.com/margotgunning) as collaborators to your repo containing hw08. Please __review the hw08 submission of [mlawre01](https://github.com/mlawre01) and [vmichalowski](https://github.com/vmichalowski)__."
"yuanjisun","Please add [qiaoyuet](https://github.com/qiaoyuet) and [KateJohnson](https://github.com/KateJohnson) as collaborators to your repo containing hw08. Please __review the hw08 submission of [peterwhitman](https://github.com/peterwhitman) and [ilgan](https://github.com/ilgan)__."
"ZimingY","Please add [mattsada](https://github.com/mattsada) and [mylinhthibodeau](https://github.com/mylinhthibodeau) as collaborators to your repo containing hw08. Please __review the hw08 submission of [heathersummers](https://github.com/heathersummers) and [arsbar24](https://github.com/arsbar24)__."
"zxkathy","Please add [Alexander-Morin](https://github.com/Alexander-Morin) and [abishekarun](https://github.com/abishekarun) as collaborators to your repo containing hw08. Please __review the hw08 submission of [yeonukkim](https://github.com/yeonukkim) and [qiaoyuet](https://github.com/qiaoyuet)__."
