"Your_github","Instructions"
"emwest","Please add [suminwei2772](https://github.com/suminwei2772) and [SonjaS1](https://github.com/SonjaS1) as collaborators to your repo containing hw09. Please __review the hw09 submission of [heathersummers](https://github.com/heathersummers) and [emilymistick](https://github.com/emilymistick)__."
"farihakhan","Please add [vibudh2209](https://github.com/vibudh2209) and [juansbr7](https://github.com/juansbr7) as collaborators to your repo containing hw09. Please __review the hw09 submission of [hsmohammed](https://github.com/hsmohammed) and [yeonukkim](https://github.com/yeonukkim)__."
"gbraich","Please add [HScheiber](https://github.com/HScheiber) and [rainerlempert](https://github.com/rainerlempert) as collaborators to your repo containing hw09. Please __review the hw09 submission of [vibudh2209](https://github.com/vibudh2209) and [juansbr7](https://github.com/juansbr7)__."
"hannahdxz","Please add [peterwhitman](https://github.com/peterwhitman) and [yanchaoluo](https://github.com/yanchaoluo) as collaborators to your repo containing hw09. Please __review the hw09 submission of [arthursunbao](https://github.com/arthursunbao) and [jmurthy12](https://github.com/jmurthy12)__."
"heathersummers","Please add [SonjaS1](https://github.com/SonjaS1) and [emwest](https://github.com/emwest) as collaborators to your repo containing hw09. Please __review the hw09 submission of [emilymistick](https://github.com/emilymistick) and [vanflad](https://github.com/vanflad)__."
"HScheiber","Please add [xinmiaow](https://github.com/xinmiaow) and [bcahn7](https://github.com/bcahn7) as collaborators to your repo containing hw09. Please __review the hw09 submission of [rainerlempert](https://github.com/rainerlempert) and [gbraich](https://github.com/gbraich)__."
"hsmohammed","Please add [juansbr7](https://github.com/juansbr7) and [farihakhan](https://github.com/farihakhan) as collaborators to your repo containing hw09. Please __review the hw09 submission of [yeonukkim](https://github.com/yeonukkim) and [Shirlett](https://github.com/Shirlett)__."
"ilgan","Please add [Tangjiahui26](https://github.com/Tangjiahui26) and [CassKon](https://github.com/CassKon) as collaborators to your repo containing hw09. Please __review the hw09 submission of [mylinhthibodeau](https://github.com/mylinhthibodeau) and [ZimingY](https://github.com/ZimingY)__."
"jmurthy12","Please add [hannahdxz](https://github.com/hannahdxz) and [arthursunbao](https://github.com/arthursunbao) as collaborators to your repo containing hw09. Please __review the hw09 submission of [swynes](https://github.com/swynes) and [santiagodr](https://github.com/santiagodr)__."
"juansbr7","Please add [gbraich](https://github.com/gbraich) and [vibudh2209](https://github.com/vibudh2209) as collaborators to your repo containing hw09. Please __review the hw09 submission of [farihakhan](https://github.com/farihakhan) and [hsmohammed](https://github.com/hsmohammed)__."
"KateJohnson","Please add [yuanjisun](https://github.com/yuanjisun) and [Mathnstein](https://github.com/Mathnstein) as collaborators to your repo containing hw09. Please __review the hw09 submission of [qiaoyuet](https://github.com/qiaoyuet) and [sepkamal](https://github.com/sepkamal)__."
"Kozp","Please add [dorawyy](https://github.com/dorawyy) and [wenzhengzzz](https://github.com/wenzhengzzz) as collaborators to your repo containing hw09. Please __review the hw09 submission of [mattsada](https://github.com/mattsada) and [peterwhitman](https://github.com/peterwhitman)__."
"marbazua","Please add [ZimingY](https://github.com/ZimingY) and [abishekarun](https://github.com/abishekarun) as collaborators to your repo containing hw09. Please __review the hw09 submission of [vmichalowski](https://github.com/vmichalowski) and [xinyaofan](https://github.com/xinyaofan)__."
"margotgunning","Please add [sepkamal](https://github.com/sepkamal) and [zxkathy](https://github.com/zxkathy) as collaborators to your repo containing hw09. Please __review the hw09 submission of [AnhKhoaVo](https://github.com/AnhKhoaVo) and [rishadhabib](https://github.com/rishadhabib)__."
"Mathnstein","Please add [arsbar24](https://github.com/arsbar24) and [yuanjisun](https://github.com/yuanjisun) as collaborators to your repo containing hw09. Please __review the hw09 submission of [KateJohnson](https://github.com/KateJohnson) and [qiaoyuet](https://github.com/qiaoyuet)__."
"mattsada","Please add [wenzhengzzz](https://github.com/wenzhengzzz) and [Kozp](https://github.com/Kozp) as collaborators to your repo containing hw09. Please __review the hw09 submission of [peterwhitman](https://github.com/peterwhitman) and [yanchaoluo](https://github.com/yanchaoluo)__."
"menglinzhou","Please add [xinyaofan](https://github.com/xinyaofan) and [wswade2](https://github.com/wswade2) as collaborators to your repo containing hw09. Please __review the hw09 submission of [cheungamanda](https://github.com/cheungamanda) and [yidie](https://github.com/yidie)__."
"mlawre01","Please add [yeonukkim](https://github.com/yeonukkim) and [Shirlett](https://github.com/Shirlett) as collaborators to your repo containing hw09. Please __review the hw09 submission of [suminwei2772](https://github.com/suminwei2772) and [SonjaS1](https://github.com/SonjaS1)__."
"mylinhthibodeau","Please add [CassKon](https://github.com/CassKon) and [ilgan](https://github.com/ilgan) as collaborators to your repo containing hw09. Please __review the hw09 submission of [ZimingY](https://github.com/ZimingY) and [abishekarun](https://github.com/abishekarun)__."
"peterwhitman","Please add [Kozp](https://github.com/Kozp) and [mattsada](https://github.com/mattsada) as collaborators to your repo containing hw09. Please __review the hw09 submission of [yanchaoluo](https://github.com/yanchaoluo) and [hannahdxz](https://github.com/hannahdxz)__."
"qiaoyuet","Please add [Mathnstein](https://github.com/Mathnstein) and [KateJohnson](https://github.com/KateJohnson) as collaborators to your repo containing hw09. Please __review the hw09 submission of [sepkamal](https://github.com/sepkamal) and [zxkathy](https://github.com/zxkathy)__."
"rainerlempert","Please add [bcahn7](https://github.com/bcahn7) and [HScheiber](https://github.com/HScheiber) as collaborators to your repo containing hw09. Please __review the hw09 submission of [gbraich](https://github.com/gbraich) and [vibudh2209](https://github.com/vibudh2209)__."
"rishadhabib","Please add [margotgunning](https://github.com/margotgunning) and [AnhKhoaVo](https://github.com/AnhKhoaVo) as collaborators to your repo containing hw09. Please __review the hw09 submission of [Alexander-Morin](https://github.com/Alexander-Morin) and [Tangjiahui26](https://github.com/Tangjiahui26)__."
"santiagodr","Please add [jmurthy12](https://github.com/jmurthy12) and [swynes](https://github.com/swynes) as collaborators to your repo containing hw09. Please __review the hw09 submission of [arsbar24](https://github.com/arsbar24) and [yuanjisun](https://github.com/yuanjisun)__."
"sepkamal","Please add [KateJohnson](https://github.com/KateJohnson) and [qiaoyuet](https://github.com/qiaoyuet) as collaborators to your repo containing hw09. Please __review the hw09 submission of [zxkathy](https://github.com/zxkathy) and [margotgunning](https://github.com/margotgunning)__."
"Shirlett","Please add [hsmohammed](https://github.com/hsmohammed) and [yeonukkim](https://github.com/yeonukkim) as collaborators to your repo containing hw09. Please __review the hw09 submission of [mlawre01](https://github.com/mlawre01) and [suminwei2772](https://github.com/suminwei2772)__."
"SonjaS1","Please add [mlawre01](https://github.com/mlawre01) and [suminwei2772](https://github.com/suminwei2772) as collaborators to your repo containing hw09. Please __review the hw09 submission of [emwest](https://github.com/emwest) and [heathersummers](https://github.com/heathersummers)__."
"suminwei2772","Please add [Shirlett](https://github.com/Shirlett) and [mlawre01](https://github.com/mlawre01) as collaborators to your repo containing hw09. Please __review the hw09 submission of [SonjaS1](https://github.com/SonjaS1) and [emwest](https://github.com/emwest)__."
"swynes","Please add [arthursunbao](https://github.com/arthursunbao) and [jmurthy12](https://github.com/jmurthy12) as collaborators to your repo containing hw09. Please __review the hw09 submission of [santiagodr](https://github.com/santiagodr) and [arsbar24](https://github.com/arsbar24)__."
"Tangjiahui26","Please add [rishadhabib](https://github.com/rishadhabib) and [Alexander-Morin](https://github.com/Alexander-Morin) as collaborators to your repo containing hw09. Please __review the hw09 submission of [CassKon](https://github.com/CassKon) and [ilgan](https://github.com/ilgan)__."
"vanflad","Please add [heathersummers](https://github.com/heathersummers) and [emilymistick](https://github.com/emilymistick) as collaborators to your repo containing hw09. Please __review the hw09 submission of [dorawyy](https://github.com/dorawyy) and [wenzhengzzz](https://github.com/wenzhengzzz)__."
"vibudh2209","Please add [rainerlempert](https://github.com/rainerlempert) and [gbraich](https://github.com/gbraich) as collaborators to your repo containing hw09. Please __review the hw09 submission of [juansbr7](https://github.com/juansbr7) and [farihakhan](https://github.com/farihakhan)__."
"vmichalowski","Please add [abishekarun](https://github.com/abishekarun) and [marbazua](https://github.com/marbazua) as collaborators to your repo containing hw09. Please __review the hw09 submission of [xinyaofan](https://github.com/xinyaofan) and [wswade2](https://github.com/wswade2)__."
"wenzhengzzz","Please add [vanflad](https://github.com/vanflad) and [dorawyy](https://github.com/dorawyy) as collaborators to your repo containing hw09. Please __review the hw09 submission of [Kozp](https://github.com/Kozp) and [mattsada](https://github.com/mattsada)__."
"wswade2","Please add [vmichalowski](https://github.com/vmichalowski) and [xinyaofan](https://github.com/xinyaofan) as collaborators to your repo containing hw09. Please __review the hw09 submission of [menglinzhou](https://github.com/menglinzhou) and [cheungamanda](https://github.com/cheungamanda)__."
"xinmiaow","Please add [cheungamanda](https://github.com/cheungamanda) and [yidie](https://github.com/yidie) as collaborators to your repo containing hw09. Please __review the hw09 submission of [bcahn7](https://github.com/bcahn7) and [HScheiber](https://github.com/HScheiber)__."
"xinyaofan","Please add [marbazua](https://github.com/marbazua) and [vmichalowski](https://github.com/vmichalowski) as collaborators to your repo containing hw09. Please __review the hw09 submission of [wswade2](https://github.com/wswade2) and [menglinzhou](https://github.com/menglinzhou)__."
"yanchaoluo","Please add [mattsada](https://github.com/mattsada) and [peterwhitman](https://github.com/peterwhitman) as collaborators to your repo containing hw09. Please __review the hw09 submission of [hannahdxz](https://github.com/hannahdxz) and [arthursunbao](https://github.com/arthursunbao)__."
"yeonukkim","Please add [farihakhan](https://github.com/farihakhan) and [hsmohammed](https://github.com/hsmohammed) as collaborators to your repo containing hw09. Please __review the hw09 submission of [Shirlett](https://github.com/Shirlett) and [mlawre01](https://github.com/mlawre01)__."
"yidie","Please add [menglinzhou](https://github.com/menglinzhou) and [cheungamanda](https://github.com/cheungamanda) as collaborators to your repo containing hw09. Please __review the hw09 submission of [xinmiaow](https://github.com/xinmiaow) and [bcahn7](https://github.com/bcahn7)__."
"yuanjisun","Please add [santiagodr](https://github.com/santiagodr) and [arsbar24](https://github.com/arsbar24) as collaborators to your repo containing hw09. Please __review the hw09 submission of [Mathnstein](https://github.com/Mathnstein) and [KateJohnson](https://github.com/KateJohnson)__."
"ZimingY","Please add [ilgan](https://github.com/ilgan) and [mylinhthibodeau](https://github.com/mylinhthibodeau) as collaborators to your repo containing hw09. Please __review the hw09 submission of [abishekarun](https://github.com/abishekarun) and [marbazua](https://github.com/marbazua)__."
"zxkathy","Please add [qiaoyuet](https://github.com/qiaoyuet) and [sepkamal](https://github.com/sepkamal) as collaborators to your repo containing hw09. Please __review the hw09 submission of [margotgunning](https://github.com/margotgunning) and [AnhKhoaVo](https://github.com/AnhKhoaVo)__."
