"Your_github","Instructions"
"Kozp","Please add [OliviaTabares](https://github.com/OliviaTabares) and [suminwei2772](https://github.com/suminwei2772) as collaborators to your repo containing hw05. Please __review the hw05 submission of [xinyaofan](https://github.com/xinyaofan) and [qiaoyuet](https://github.com/qiaoyuet)__."
"lucymei","Please add [acavalla](https://github.com/acavalla) and [cheungamanda](https://github.com/cheungamanda) as collaborators to your repo containing hw05. Please __review the hw05 submission of [nicolehawe](https://github.com/nicolehawe) and [diermc](https://github.com/diermc)__."
"marbazua","Please add [vanflad](https://github.com/vanflad) and [oktokat](https://github.com/oktokat) as collaborators to your repo containing hw05. Please __review the hw05 submission of [gbraich](https://github.com/gbraich) and [rainerlempert](https://github.com/rainerlempert)__."
"margotgunning","Please add [Shirlett](https://github.com/Shirlett) and [farihakhan](https://github.com/farihakhan) as collaborators to your repo containing hw05. Please __review the hw05 submission of [swynes](https://github.com/swynes) and [rishadhabib](https://github.com/rishadhabib)__."
"Maria815","Please add [abishekarun](https://github.com/abishekarun) and [rdwyer2](https://github.com/rdwyer2) as collaborators to your repo containing hw05. Please __review the hw05 submission of [emilymistick](https://github.com/emilymistick) and [acavalla](https://github.com/acavalla)__."
"Mathnstein","Please add [vibudh2209](https://github.com/vibudh2209) and [auduman](https://github.com/auduman) as collaborators to your repo containing hw05. Please __review the hw05 submission of [vanflad](https://github.com/vanflad) and [oktokat](https://github.com/oktokat)__."
"mattsada","Please add [hannahdxz](https://github.com/hannahdxz) and [julianheavyside](https://github.com/julianheavyside) as collaborators to your repo containing hw05. Please __review the hw05 submission of [HScheiber](https://github.com/HScheiber) and [mlawre01](https://github.com/mlawre01)__."
"menglinzhou","Please add [juansbr7](https://github.com/juansbr7) and [wenzhengzzz](https://github.com/wenzhengzzz) as collaborators to your repo containing hw05. Please __review the hw05 submission of [NSKrstic](https://github.com/NSKrstic) and [sepkamal](https://github.com/sepkamal)__."
"mlawre01","Please add [mattsada](https://github.com/mattsada) and [HScheiber](https://github.com/HScheiber) as collaborators to your repo containing hw05. Please __review the hw05 submission of [heathersummers](https://github.com/heathersummers) and [estennw](https://github.com/estennw)__."
"mylinhthibodeau","Please add [jenncscampbell](https://github.com/jenncscampbell) and [yanchaoluo](https://github.com/yanchaoluo) as collaborators to your repo containing hw05. Please __review the hw05 submission of [xinmiaow](https://github.com/xinmiaow) and [CassKon](https://github.com/CassKon)__."
"navysealtf9k","Please add [NSKrstic](https://github.com/NSKrstic) and [sepkamal](https://github.com/sepkamal) as collaborators to your repo containing hw05. Please __review the hw05 submission of [jmurthy12](https://github.com/jmurthy12) and [sdhanani](https://github.com/gvdr/stat545-hw-dhanani-selina)__."
"nbendriem","Please add [cindyhurtado](https://github.com/cindyhurtado) and [angmelanie](https://github.com/angmelanie) as collaborators to your repo containing hw05. Please __review the hw05 submission of [burkeprw](https://github.com/burkeprw) and [winnietse1018](https://github.com/winnietse1018)__."
"nicolehawe","Please add [cheungamanda](https://github.com/cheungamanda) and [lucymei](https://github.com/lucymei) as collaborators to your repo containing hw05. Please __review the hw05 submission of [diermc](https://github.com/diermc) and [zxkathy](https://github.com/zxkathy)__."
"NSKrstic","Please add [wenzhengzzz](https://github.com/wenzhengzzz) and [menglinzhou](https://github.com/menglinzhou) as collaborators to your repo containing hw05. Please __review the hw05 submission of [sepkamal](https://github.com/sepkamal) and [navysealtf9k](https://github.com/navysealtf9k)__."
"oktokat","Please add [Mathnstein](https://github.com/Mathnstein) and [vanflad](https://github.com/vanflad) as collaborators to your repo containing hw05. Please __review the hw05 submission of [marbazua](https://github.com/marbazua) and [gbraich](https://github.com/gbraich)__."
"OliviaTabares","Please add [ilgan](https://github.com/ilgan) and [teilhard1976](https://github.com/teilhard1976) as collaborators to your repo containing hw05. Please __review the hw05 submission of [suminwei2772](https://github.com/suminwei2772) and [Kozp](https://github.com/Kozp)__."
"peterwhitman","Please add [winnietse1018](https://github.com/winnietse1018) and [SonjaS1](https://github.com/SonjaS1) as collaborators to your repo containing hw05. Please __review the hw05 submission of [vmichalowski](https://github.com/vmichalowski) and [Tangjiahui26](https://github.com/Tangjiahui26)__."
"qiaoyuet","Please add [Kozp](https://github.com/Kozp) and [xinyaofan](https://github.com/xinyaofan) as collaborators to your repo containing hw05. Please __review the hw05 submission of [susannaelsie](https://github.com/susannaelsie) and [bcahn7](https://github.com/bcahn7)__."
"rainerlempert","Please add [marbazua](https://github.com/marbazua) and [gbraich](https://github.com/gbraich) as collaborators to your repo containing hw05. Please __review the hw05 submission of [hannahdxz](https://github.com/hannahdxz) and [julianheavyside](https://github.com/julianheavyside)__."
"rdwyer2","Please add [santiagodr](https://github.com/santiagodr) and [abishekarun](https://github.com/abishekarun) as collaborators to your repo containing hw05. Please __review the hw05 submission of [Maria815](https://github.com/Maria815) and [emilymistick](https://github.com/emilymistick)__."
"rishadhabib","Please add [margotgunning](https://github.com/margotgunning) and [swynes](https://github.com/swynes) as collaborators to your repo containing hw05. Please __review the hw05 submission of [yeonukkim](https://github.com/yeonukkim) and [vibudh2209](https://github.com/vibudh2209)__."
"santiagodr","Please add [hsmohammed](https://github.com/hsmohammed) and [ssheikho](https://github.com/ssheikho) as collaborators to your repo containing hw05. Please __review the hw05 submission of [abishekarun](https://github.com/abishekarun) and [rdwyer2](https://github.com/rdwyer2)__."
"sdhanani","Please add [navysealtf9k](https://github.com/navysealtf9k) and [jmurthy12](https://github.com/jmurthy12) as collaborators to your repo containing hw05. Please __review the hw05 submission of [aiod01](https://github.com/aiod01) and [k3vzhu](https://github.com/k3vzhu)__."
"sepkamal","Please add [menglinzhou](https://github.com/menglinzhou) and [NSKrstic](https://github.com/NSKrstic) as collaborators to your repo containing hw05. Please __review the hw05 submission of [navysealtf9k](https://github.com/navysealtf9k) and [jmurthy12](https://github.com/jmurthy12)__."
"shadowforti","Please add [heathersummers](https://github.com/heathersummers) and [estennw](https://github.com/estennw) as collaborators to your repo containing hw05. Please __review the hw05 submission of [arthursunbao](https://github.com/arthursunbao) and [ChadFibke](https://github.com/ChadFibke)__."
"Shirlett","Please add [zxkathy](https://github.com/zxkathy) and [Jennica416](https://github.com/Jennica416) as collaborators to your repo containing hw05. Please __review the hw05 submission of [farihakhan](https://github.com/farihakhan) and [margotgunning](https://github.com/margotgunning)__."
"SonjaS1","Please add [burkeprw](https://github.com/burkeprw) and [winnietse1018](https://github.com/winnietse1018) as collaborators to your repo containing hw05. Please __review the hw05 submission of [peterwhitman](https://github.com/peterwhitman) and [vmichalowski](https://github.com/vmichalowski)__."
"ssheikho","Please add [dorawyy](https://github.com/dorawyy) and [hsmohammed](https://github.com/hsmohammed) as collaborators to your repo containing hw05. Please __review the hw05 submission of [santiagodr](https://github.com/santiagodr) and [abishekarun](https://github.com/abishekarun)__."
"suminwei2772","Please add [teilhard1976](https://github.com/teilhard1976) and [OliviaTabares](https://github.com/OliviaTabares) as collaborators to your repo containing hw05. Please __review the hw05 submission of [Kozp](https://github.com/Kozp) and [xinyaofan](https://github.com/xinyaofan)__."
"susannaelsie","Please add [xinyaofan](https://github.com/xinyaofan) and [qiaoyuet](https://github.com/qiaoyuet) as collaborators to your repo containing hw05. Please __review the hw05 submission of [bcahn7](https://github.com/bcahn7) and [yuanjisun](https://github.com/yuanjisun)__."
"swynes","Please add [farihakhan](https://github.com/farihakhan) and [margotgunning](https://github.com/margotgunning) as collaborators to your repo containing hw05. Please __review the hw05 submission of [rishadhabib](https://github.com/rishadhabib) and [yeonukkim](https://github.com/yeonukkim)__."
"Tangjiahui26","Please add [peterwhitman](https://github.com/peterwhitman) and [vmichalowski](https://github.com/vmichalowski) as collaborators to your repo containing hw05. Please __review the hw05 submission of [danaj191](https://github.com/danaj191) and [arsbar24](https://github.com/arsbar24)__."
"teilhard1976","Please add [k3vzhu](https://github.com/k3vzhu) and [ilgan](https://github.com/ilgan) as collaborators to your repo containing hw05. Please __review the hw05 submission of [OliviaTabares](https://github.com/OliviaTabares) and [suminwei2772](https://github.com/suminwei2772)__."
"vanflad","Please add [auduman](https://github.com/auduman) and [Mathnstein](https://github.com/Mathnstein) as collaborators to your repo containing hw05. Please __review the hw05 submission of [oktokat](https://github.com/oktokat) and [marbazua](https://github.com/marbazua)__."
"vibudh2209","Please add [rishadhabib](https://github.com/rishadhabib) and [yeonukkim](https://github.com/yeonukkim) as collaborators to your repo containing hw05. Please __review the hw05 submission of [auduman](https://github.com/auduman) and [Mathnstein](https://github.com/Mathnstein)__."
"vmichalowski","Please add [SonjaS1](https://github.com/SonjaS1) and [peterwhitman](https://github.com/peterwhitman) as collaborators to your repo containing hw05. Please __review the hw05 submission of [Tangjiahui26](https://github.com/Tangjiahui26) and [danaj191](https://github.com/danaj191)__."
"wenzhengzzz","Please add [Alexander-Morin](https://github.com/Alexander-Morin) and [juansbr7](https://github.com/juansbr7) as collaborators to your repo containing hw05. Please __review the hw05 submission of [menglinzhou](https://github.com/menglinzhou) and [NSKrstic](https://github.com/NSKrstic)__."
"winnietse1018","Please add [nbendriem](https://github.com/nbendriem) and [burkeprw](https://github.com/burkeprw) as collaborators to your repo containing hw05. Please __review the hw05 submission of [SonjaS1](https://github.com/SonjaS1) and [peterwhitman](https://github.com/peterwhitman)__."
"wswade2","Please add [ChadFibke](https://github.com/ChadFibke) and [KateJohnson](https://github.com/KateJohnson) as collaborators to your repo containing hw05. Please __review the hw05 submission of [jenncscampbell](https://github.com/jenncscampbell) and [yanchaoluo](https://github.com/yanchaoluo)__."
"xinmiaow","Please add [yanchaoluo](https://github.com/yanchaoluo) and [mylinhthibodeau](https://github.com/mylinhthibodeau) as collaborators to your repo containing hw05. Please __review the hw05 submission of [CassKon](https://github.com/CassKon) and [alexrod61](https://github.com/alexrod61)__."
"xinyaofan","Please add [suminwei2772](https://github.com/suminwei2772) and [Kozp](https://github.com/Kozp) as collaborators to your repo containing hw05. Please __review the hw05 submission of [qiaoyuet](https://github.com/qiaoyuet) and [susannaelsie](https://github.com/susannaelsie)__."
"yanchaoluo","Please add [wswade2](https://github.com/wswade2) and [jenncscampbell](https://github.com/jenncscampbell) as collaborators to your repo containing hw05. Please __review the hw05 submission of [mylinhthibodeau](https://github.com/mylinhthibodeau) and [xinmiaow](https://github.com/xinmiaow)__."
"yeonukkim","Please add [swynes](https://github.com/swynes) and [rishadhabib](https://github.com/rishadhabib) as collaborators to your repo containing hw05. Please __review the hw05 submission of [vibudh2209](https://github.com/vibudh2209) and [auduman](https://github.com/auduman)__."
"yidie","Please add [CassKon](https://github.com/CassKon) and [alexrod61](https://github.com/alexrod61) as collaborators to your repo containing hw05. Please __review the hw05 submission of [ZimingY](https://github.com/ZimingY) and [cindyhurtado](https://github.com/cindyhurtado)__."
"yuanjisun","Please add [susannaelsie](https://github.com/susannaelsie) and [bcahn7](https://github.com/bcahn7) as collaborators to your repo containing hw05. Please __review the hw05 submission of [dorawyy](https://github.com/dorawyy) and [hsmohammed](https://github.com/hsmohammed)__."
"ZimingY","Please add [alexrod61](https://github.com/alexrod61) and [yidie](https://github.com/yidie) as collaborators to your repo containing hw05. Please __review the hw05 submission of [cindyhurtado](https://github.com/cindyhurtado) and [angmelanie](https://github.com/angmelanie)__."
"zxkathy","Please add [nicolehawe](https://github.com/nicolehawe) and [diermc](https://github.com/diermc) as collaborators to your repo containing hw05. Please __review the hw05 submission of [Jennica416](https://github.com/Jennica416) and [Shirlett](https://github.com/Shirlett)__."
